4.329	3.25
4.198	3.456
4.026	3.236
4.208	3.036
3.895	3.003
3.675	3.208
3.858	3.423
3.979	3.633
3.853	3.844
4.012	4.049
3.671	3.605
3.507	3.409
3.367	3.615
3.535	3.82
3.703	4.012
3.83	4.245
4.03	4.46
3.83	4.628
4.114	4.712
4.306	4.511
4.479	4.343
4.628	4.553
4.231	3.872
4.376	4.091
4.806	4.348
5.02	4.572
4.838	4.736
4.955	4.992
4.614	4.946
4.81	5.198
4.628	5.375
4.399	5.142
4.283	4.922
4.483	4.731
4.114	5.137
4.301	5.347
3.946	5.301
4.114	5.52
3.773	5.067
3.437	4.997
3.568	5.287
3.764	5.534
3.652	4.413
3.451	4.212
3.302	3.988
3.162	3.788
3.288	4.385
3.26	4.796
3.423	4.591
3.073	5.011
3.264	5.207
3.059	4.591
2.91	4.357
3.096	4.189
2.952	3.965
2.779	4.166
2.601	4.334
2.723	4.572
2.891	5.217
2.863	4.792
2.704	4.96
5.179	3.928
4.834	3.923
4.955	3.717
5.151	4.778
5.315	5.002
5.45	4.815
5.044	5.417
4.39	3.675
4.544	3.493
4.661	3.278
4.53	3.886
4.815	3.498
4.992	3.292
5.123	3.535
5.305	3.736
5.427	3.545
5.604	3.783
5.305	3.339
5.175	3.138
5.562	3.138
5.338	2.924
5.044	2.91
5.221	2.713
4.885	2.671
4.75	2.877
4.497	3.059
4.829	3.11
4.404	2.835
4.227	2.615
4.058	2.825
3.741	2.797
3.554	2.989
3.461	2.755
3.26	2.928
3.335	3.171
3.18	3.349
3.008	3.531
2.867	3.33
2.966	3.124
2.863	2.9
3.068	2.699
2.695	3.503
2.788	3.764
2.573	3.306
2.597	3.946
5.59	4.166
5.147	4.39
4.983	4.119
5.684	4.988
5.487	5.24
4.46	5.604
5.226	5.632
4.908	5.642
4.792	5.912
4.595	6.085
4.908	6.165
4.138	5.758
4.483	5.884
4.245	6.123
4.516	6.333
3.984	5.978
3.797	5.782
3.507	5.884
3.652	6.104
3.89	6.258
4.147	6.389
3.582	6.342
3.839	6.482
4.114	6.618
4.068	6.87
3.759	6.73
3.498	6.571
3.461	6.832
3.675	6.973
4.334	7.038
4.469	6.809
4.712	6.613
4.904	6.398
4.74	7.08
5.137	7.094
5.189	6.823
5.515	6.959
5.782	7.099
6.095	7.019
6.333	6.753
5.987	6.748
6.155	6.571
5.819	6.534
6.048	6.379
5.628	6.319
5.315	6.379
5.427	6.132
5.702	5.954
5.408	5.852
5.833	5.763
5.656	5.427
5.553	5.651
6.053	5.445
6.244	5.791
6.421	5.973
6.407	5.614
6.351	5.343
6.113	5.062
6.001	4.824
5.698	4.609
5.828	4.395
5.973	4.175
6.146	4.395
6.001	4.586
4.834	6.865
5.212	6.58
5.632	6.753
5.268	7.342
5.562	7.491
4.95	7.299
4.016	7.122
4.287	7.29
4.726	7.43
3.914	7.379
3.629	7.215
4.259	7.514
4.983	7.668
5.338	7.664
5.609	7.851
5.217	7.963
4.815	7.855
4.525	7.668
4.451	7.935
4.203	7.748
3.9	7.846
3.633	7.71
3.596	7.454
4.885	8.098
5.515	8.079
6.048	7.79
6.384	7.776
6.207	8.131
6.183	7.556
6.445	7.454
5.884	7.402
6.309	7.267
6.599	7.085
5.52	2.732
5.779	2.977
5.891	3.18
5.646	3.398
5.821	3.594
6.025	3.398
6.431	3.045
6.239	3.194
6.543	3.236
6.375	3.423
6.221	3.615
6.039	3.759
5.772	3.993
6.356	3.904
6.548	3.596
6.678	3.904
6.487	4.119
6.632	4.371
6.837	4.175
6.431	4.572
6.692	4.745
6.86	4.577
7.052	4.353
7.197	4.6
6.968	4.796
6.832	4.988
6.767	5.221
6.501	4.899
6.421	5.142
6.982	5.389
6.683	5.525
6.65	5.772
7.033	5.856
7.173	5.651
7.365	5.441
7.178	5.231
7.313	5.025
7.519	5.282
7.603	5.02
7.398	4.815
7.598	4.637
7.813	4.824
7.93	4.642
7.79	4.427
7.402	4.437
7.313	4.198
7.164	3.96
6.987	3.722
7.136	3.512
7.309	3.75
6.963	3.311
6.814	3.087
7.323	3.349
7.51	3.587
7.659	3.783
7.482	4.002
7.64	4.236
7.986	4.269
7.832	4.002
8.14	3.83
8.159	4.091
8.238	3.605
7.837	3.619
8.014	3.381
7.678	3.409
7.542	3.166
7.108	2.952
6.65	2.849
6.113	2.956
7.743	2.97
7.851	3.199
8.047	2.994
8.075	5.039
8.005	5.277
7.71	5.478
7.528	5.698
7.981	5.693
7.809	5.936
7.313	5.903
8.173	5.903
8.327	5.347
8.276	4.876
8.262	4.455
8.191	3.241
6.239	6.183
5.898	6.169
6.351	6.384
6.608	6.225
6.809	6.039
6.959	6.286
6.758	6.464
6.557	6.627
6.776	6.86
6.968	6.697
7.145	6.52
7.29	6.281
7.145	6.118
7.426	6.104
7.743	6.309
7.981	6.127
8.159	6.323
7.944	6.548
8.135	6.744
7.953	6.949
7.752	6.725
8.28	6.571
8.29	6.959
8.056	7.206
8.266	7.43
8.019	7.617
8.257	7.837
7.827	7.841
